Valiutos pavadinimas,Valiutos kodas,Santykis,Pokytis vnt.,Pokytis %,Data
Bulgarijos levas,BGN,"1,9558","0,0000","0,0000 %",2024-03-06
Brazilijos realas,BRL,"5,375","0,00370","0,0689 %",2024-03-06
Kanados doleris,CAD,"1,477","0,00230","0,1560 %",2024-03-06
Šveicarijos frankas,CHF,"0,9619","0,00100","0,1041 %",2024-03-06
Kinijos ženminbi juanis,CNY,"7,8281","0,01770","0,2266 %",2024-03-06
Čekijos krona,CZK,"25,359","0,00600","0,0237 %",2024-03-06
Danijos krona,DKK,"7,4544","0,00020","0,0027 %",2024-03-06
Didžiosios Britanijos svaras sterlingų,GBP,"0,85498","-0,00045","-0,0526 %",2024-03-06
Honkongo doleris,HKD,"8,5088","0,02150","0,2533 %",2024-03-06
Vengrijos forintas,HUF,"392,95","-2,80000","-0,7075 %",2024-03-06
Indonezijos rupija,IDR,"17 069,52","-10,17000","-0,0595 %",2024-03-06
Izraelio naujasis šekelis,ILS,"3,9212","0,01780","0,4560 %",2024-03-06
Indijos rupija,INR,"90,056","0,10350","0,1151 %",2024-03-06
Islandijos krona,ISK,"148,9","-0,20000","-0,1341 %",2024-03-06
Japonijos jena,JPY,"162,67","-0,34000","-0,2086 %",2024-03-06
Pietų Korėjos vonas,KRW,"1 450,41","2,43000","0,1678 %",2024-03-06
Meksikos pesas,MXN,"18,3532","-0,03920","-0,2131 %",2024-03-06
Malaizijos ringitas,MYR,"5,1456","0,00860","0,1674 %",2024-03-06
Norvegijos krona,NOK,"11,468","-0,00700","-0,0610 %",2024-03-06
Naujosios Zelandijos doleris,NZD,"1,7812","-0,00350","-0,1961 %",2024-03-06
Filipinų pesas,PHP,"60,731","0,00400","0,0066 %",2024-03-06
Lenkijos zlotas,PLN,"4,3018","-0,02300","-0,5318 %",2024-03-06
Rumunijos lėja,RON,"4,9706","-0,00120","-0,0241 %",2024-03-06
Švedijos krona,SEK,"11,2555","-0,02480","-0,2199 %",2024-03-06
Singapūro doleris,SGD,"1,4578","0,0000","0,0000 %",2024-03-06
Tailando batas,THB,"38,82","-0,04100","-0,1055 %",2024-03-06
Turkijos lira,TRY,"34,5173","0,16990","0,4947 %",2024-03-06
JAV doleris,USD,"1,0874","0,00250","0,2304 %",2024-03-06
Pietų Afrikos Respublikos randas,ZAR,"20,5388","-0,04740","-0,2303 %",2024-03-06
Australijos doleris,AUD,"1,6709","0,00690","0,4147 %",2024-03-05
Bulgarijos levas,BGN,"1,9558","0,0000","0,0000 %",2024-03-05
Brazilijos realas,BRL,"5,3713","-0,00050","-0,0093 %",2024-03-05
Kanados doleris,CAD,"1,4747","0,00280","0,1902 %",2024-03-05
Šveicarijos frankas,CHF,"0,9609","0,00050","0,0521 %",2024-03-05
Kinijos ženminbi juanis,CNY,"7,8104","0,00200","0,0256 %",2024-03-05
Čekijos krona,CZK,"25,353","-0,00300","-0,0118 %",2024-03-05
Danijos krona,DKK,"7,4542","0,00030","0,0040 %",2024-03-05
Didžiosios Britanijos svaras sterlingų,GBP,"0,85543","-0,00040","-0,0467 %",2024-03-05
Honkongo doleris,HKD,"8,4873","0,00120","0,0141 %",2024-03-05
Vengrijos forintas,HUF,"395,75","0,50000","0,1265 %",2024-03-05
Indonezijos rupija,IDR,"17 079,69","10,42000","0,0610 %",2024-03-05
Izraelio naujasis šekelis,ILS,"3,9034","0,02590","0,6680 %",2024-03-05
Indijos rupija,INR,"89,9525","0,01260","0,0140 %",2024-03-05
Islandijos krona,ISK,"149,1","-0,40000","-0,2676 %",2024-03-05
Japonijos jena,JPY,"163,01","-0,21000","-0,1287 %",2024-03-05
Pietų Korėjos vonas,KRW,"1 447,98","3,04000","0,2104 %",2024-03-05
Meksikos pesas,MXN,"18,3924","-0,05930","-0,3214 %",2024-03-05
Malaizijos ringitas,MYR,"5,137","0,01390","0,2713 %",2024-03-05
Norvegijos krona,NOK,"11,475","0,04250","0,3717 %",2024-03-05
Naujosios Zelandijos doleris,NZD,"1,7847","0,00580","0,3260 %",2024-03-05
Filipinų pesas,PHP,"60,727","0,00300","0,0049 %",2024-03-05
Lenkijos zlotas,PLN,"4,3248","0,00280","0,0648 %",2024-03-05
Rumunijos lėja,RON,"4,9718","0,00100","0,0201 %",2024-03-05
Švedijos krona,SEK,"11,2803","0,03790","0,3371 %",2024-03-05
Singapūro doleris,SGD,"1,4578","0,00080","0,0549 %",2024-03-05
Tailando batas,THB,"38,861","-0,01100","-0,0283 %",2024-03-05
Turkijos lira,TRY,"34,3474","0,15380","0,4498 %",2024-03-05
JAV doleris,USD,"1,0849","0,00030","0,0277 %",2024-03-05
Pietų Afrikos Respublikos randas,ZAR,"20,5862","-0,05230","-0,2534 %",2024-03-05
Australijos doleris,AUD,"1,664","0,00030","0,0180 %",2024-03-04
Bulgarijos levas,BGN,"1,9558","0,0000","0,0000 %",2024-03-04
Brazilijos realas,BRL,"5,3718","0,00620","0,1156 %",2024-03-04
Kanados doleris,CAD,"1,4719","0,00400","0,2725 %",2024-03-04
Šveicarijos frankas,CHF,"0,9604","0,00220","0,2296 %",2024-03-04
Kinijos ženminbi juanis,CNY,"7,8084","0,02470","0,3173 %",2024-03-04
Čekijos krona,CZK,"25,356","0,02300","0,0908 %",2024-03-04
Danijos krona,DKK,"7,4539","-0,00040","-0,0054 %",2024-03-04
Didžiosios Britanijos svaras sterlingų,GBP,"0,85583","-0,0E-50","-0,0058 %",2024-03-04
Honkongo doleris,HKD,"8,4861","0,02110","0,2493 %",2024-03-04
Vengrijos forintas,HUF,"395,25","2,00000","0,5086 %",2024-03-04
Indonezijos rupija,IDR,"17 069,27","69,18000","0,4069 %",2024-03-04
Izraelio naujasis šekelis,ILS,"3,8775","0,02530","0,6568 %",2024-03-04
Indijos rupija,INR,"89,9399","0,32640","0,3642 %",2024-03-04
Islandijos krona,ISK,"149,5","0,0000","0,0000 %",2024-03-04
Japonijos jena,JPY,"163,22","0,40000","0,2457 %",2024-03-04
Pietų Korėjos vonas,KRW,"1 444,94","0,73000","0,0505 %",2024-03-04
Meksikos pesas,MXN,"18,4517","0,04380","0,2379 %",2024-03-04
Malaizijos ringitas,MYR,"5,1231","-0,00870","-0,1695 %",2024-03-04
Norvegijos krona,NOK,"11,4325","-0,01050","-0,0918 %",2024-03-04
Naujosios Zelandijos doleris,NZD,"1,7789","0,00250","0,1407 %",2024-03-04
Filipinų pesas,PHP,"60,724","0,05200","0,0857 %",2024-03-04
Lenkijos zlotas,PLN,"4,322","0,00400","0,0926 %",2024-03-04
Rumunijos lėja,RON,"4,9708","0,00130","0,0262 %",2024-03-04
Švedijos krona,SEK,"11,2424","0,04760","0,4252 %",2024-03-04
Singapūro doleris,SGD,"1,457","0,00070","0,0481 %",2024-03-04
Tailando batas,THB,"38,872","-0,01200","-0,0309 %",2024-03-04
Turkijos lira,TRY,"34,1936","0,29920","0,8827 %",2024-03-04
JAV doleris,USD,"1,0846","0,00330","0,3052 %",2024-03-04
Pietų Afrikos Respublikos randas,ZAR,"20,6385","-0,09730","-0,4692 %",2024-03-04
Australijos doleris,AUD,"1,6637","-0,00470","-0,2817 %",2024-03-03
Bulgarijos levas,BGN,"1,9558","0,0000","0,0000 %",2024-03-03
Brazilijos realas,BRL,"5,3656","-0,03980","-0,7363 %",2024-03-03
Kanados doleris,CAD,"1,4679","-0,00400","-0,2718 %",2024-03-03
Šveicarijos frankas,CHF,"0,9582","0,00480","0,5035 %",2024-03-03
Kinijos ženminbi juanis,CNY,"7,7837","-0,00510","-0,0655 %",2024-03-03
Čekijos krona,CZK,"25,333","-0,03000","-0,1183 %",2024-03-03
Danijos krona,DKK,"7,4543","0,00030","0,0040 %",2024-03-03
Didžiosios Britanijos svaras sterlingų,GBP,"0,85588","-0,00067","-0,0782 %",2024-03-03
Honkongo doleris,HKD,"8,465","-0,00850","-0,1003 %",2024-03-03
Vengrijos forintas,HUF,"393,25","-0,23000","-0,0585 %",2024-03-03
Indonezijos rupija,IDR,"17 000,09","-38,09000","-0,2236 %",2024-03-03
Izraelio naujasis šekelis,ILS,"3,8522","-0,02140","-0,5525 %",2024-03-03
Indijos rupija,INR,"89,6135","-0,13230","-0,1474 %",2024-03-03
Islandijos krona,ISK,"149,5","0,20000","0,1340 %",2024-03-03
Japonijos jena,JPY,"162,82","0,29000","0,1784 %",2024-03-03
Pietų Korėjos vonas,KRW,"1 444,21","-3,22000","-0,2225 %",2024-03-03
Meksikos pesas,MXN,"18,4079","-0,08900","-0,4812 %",2024-03-03
Malaizijos ringitas,MYR,"5,1318","-0,00570","-0,1109 %",2024-03-03
Norvegijos krona,NOK,"11,443","-0,04900","-0,4264 %",2024-03-03
Naujosios Zelandijos doleris,NZD,"1,7764","-0,00430","-0,2415 %",2024-03-03
Filipinų pesas,PHP,"60,672","-0,18600","-0,3056 %",2024-03-03
Lenkijos zlotas,PLN,"4,318","-0,00280","-0,0648 %",2024-03-03
Rumunijos lėja,RON,"4,9695","-0,00110","-0,0221 %",2024-03-03
Švedijos krona,SEK,"11,1948","-0,02020","-0,1801 %",2024-03-03
Singapūro doleris,SGD,"1,4563","-0,00070","-0,0480 %",2024-03-03
Tailando batas,THB,"38,884","-0,02500","-0,0643 %",2024-03-03
Turkijos lira,TRY,"33,8944","0,08770","0,2594 %",2024-03-03
JAV doleris,USD,"1,0813","-0,00130","-0,1201 %",2024-03-03
Pietų Afrikos Respublikos randas,ZAR,"20,7358","-0,16490","-0,7890 %",2024-03-03
Australijos doleris,AUD,"1,6637","-0,00470","-0,2817 %",2024-03-02
Bulgarijos levas,BGN,"1,9558","0,0000","0,0000 %",2024-03-02
Brazilijos realas,BRL,"5,3656","-0,03980","-0,7363 %",2024-03-02
Kanados doleris,CAD,"1,4679","-0,00400","-0,2718 %",2024-03-02
Šveicarijos frankas,CHF,"0,9582","0,00480","0,5035 %",2024-03-02
Kinijos ženminbi juanis,CNY,"7,7837","-0,00510","-0,0655 %",2024-03-02
Čekijos krona,CZK,"25,333","-0,03000","-0,1183 %",2024-03-02
Danijos krona,DKK,"7,4543","0,00030","0,0040 %",2024-03-02
Didžiosios Britanijos svaras sterlingų,GBP,"0,85588","-0,00067","-0,0782 %",2024-03-02
Honkongo doleris,HKD,"8,465","-0,00850","-0,1003 %",2024-03-02
Vengrijos forintas,HUF,"393,25","-0,23000","-0,0585 %",2024-03-02
Indonezijos rupija,IDR,"17 000,09","-38,09000","-0,2236 %",2024-03-02
Izraelio naujasis šekelis,ILS,"3,8522","-0,02140","-0,5525 %",2024-03-02
Indijos rupija,INR,"89,6135","-0,13230","-0,1474 %",2024-03-02
Islandijos krona,ISK,"149,5","0,20000","0,1340 %",2024-03-02
Japonijos jena,JPY,"162,82","0,29000","0,1784 %",2024-03-02
Pietų Korėjos vonas,KRW,"1 444,21","-3,22000","-0,2225 %",2024-03-02
Meksikos pesas,MXN,"18,4079","-0,08900","-0,4812 %",2024-03-02
Malaizijos ringitas,MYR,"5,1318","-0,00570","-0,1109 %",2024-03-02
Norvegijos krona,NOK,"11,443","-0,04900","-0,4264 %",2024-03-02
Naujosios Zelandijos doleris,NZD,"1,7764","-0,00430","-0,2415 %",2024-03-02
Filipinų pesas,PHP,"60,672","-0,18600","-0,3056 %",2024-03-02
Lenkijos zlotas,PLN,"4,318","-0,00280","-0,0648 %",2024-03-02
Rumunijos lėja,RON,"4,9695","-0,00110","-0,0221 %",2024-03-02
Švedijos krona,SEK,"11,1948","-0,02020","-0,1801 %",2024-03-02
Singapūro doleris,SGD,"1,4563","-0,00070","-0,0480 %",2024-03-02
Tailando batas,THB,"38,884","-0,02500","-0,0643 %",2024-03-02
Turkijos lira,TRY,"33,8944","0,08770","0,2594 %",2024-03-02
JAV doleris,USD,"1,0813","-0,00130","-0,1201 %",2024-03-02
Pietų Afrikos Respublikos randas,ZAR,"20,7358","-0,16490","-0,7890 %",2024-03-02
Australijos doleris,AUD,"1,6637","-0,00470","-0,2817 %",2024-03-01
Bulgarijos levas,BGN,"1,9558","0,0000","0,0000 %",2024-03-01
Brazilijos realas,BRL,"5,3656","-0,03980","-0,7363 %",2024-03-01
Kanados doleris,CAD,"1,4679","-0,00400","-0,2718 %",2024-03-01
Šveicarijos frankas,CHF,"0,9582","0,00480","0,5035 %",2024-03-01
Kinijos ženminbi juanis,CNY,"7,7837","-0,00510","-0,0655 %",2024-03-01
Čekijos krona,CZK,"25,333","-0,03000","-0,1183 %",2024-03-01
Danijos krona,DKK,"7,4543","0,00030","0,0040 %",2024-03-01
Didžiosios Britanijos svaras sterlingų,GBP,"0,85588","-0,00067","-0,0782 %",2024-03-01
Honkongo doleris,HKD,"8,465","-0,00850","-0,1003 %",2024-03-01
Vengrijos forintas,HUF,"393,25","-0,23000","-0,0585 %",2024-03-01
Indonezijos rupija,IDR,"17 000,09","-38,09000","-0,2236 %",2024-03-01
Izraelio naujasis šekelis,ILS,"3,8522","-0,02140","-0,5525 %",2024-03-01
Indijos rupija,INR,"89,6135","-0,13230","-0,1474 %",2024-03-01
Islandijos krona,ISK,"149,5","0,20000","0,1340 %",2024-03-01
Japonijos jena,JPY,"162,82","0,29000","0,1784 %",2024-03-01
Pietų Korėjos vonas,KRW,"1 444,21","-3,22000","-0,2225 %",2024-03-01
Meksikos pesas,MXN,"18,4079","-0,08900","-0,4812 %",2024-03-01
Malaizijos ringitas,MYR,"5,1318","-0,00570","-0,1109 %",2024-03-01
Norvegijos krona,NOK,"11,443","-0,04900","-0,4264 %",2024-03-01
Naujosios Zelandijos doleris,NZD,"1,7764","-0,00430","-0,2415 %",2024-03-01
Filipinų pesas,PHP,"60,672","-0,18600","-0,3056 %",2024-03-01
Lenkijos zlotas,PLN,"4,318","-0,00280","-0,0648 %",2024-03-01
Rumunijos lėja,RON,"4,9695","-0,00110","-0,0221 %",2024-03-01
Švedijos krona,SEK,"11,1948","-0,02020","-0,1801 %",2024-03-01
Singapūro doleris,SGD,"1,4563","-0,00070","-0,0480 %",2024-03-01
Tailando batas,THB,"38,884","-0,02500","-0,0643 %",2024-03-01
Turkijos lira,TRY,"33,8944","0,08770","0,2594 %",2024-03-01
JAV doleris,USD,"1,0813","-0,00130","-0,1201 %",2024-03-01
Pietų Afrikos Respublikos randas,ZAR,"20,7358","-0,16490","-0,7890 %",2024-03-01
